#  Table f275w.UVIS2.fits[1]  Fri 11:54:38 08-Feb-2013

# row      WAVELENGTH      THROUGHPUT
#           angstroms                

    1           1700.              0.
    2           1701.              0.
    3           1702.              0.
    4           1703.              0.
    5           1704.              0.
    6           1705.              0.
    7           1706.              0.
    8           1707.              0.
    9           1708.              0.
   10           1709.              0.
   11           1710.              0.
   12           1711.              0.
   13           1712.              0.
   14           1713.              0.
   15           1714.              0.
   16           1715.              0.
   17           1716.              0.
   18           1717.              0.
   19           1718.              0.
   20           1719.              0.
   21           1720.              0.
   22           1721.              0.
   23           1722.              0.
   24           1723.              0.
   25           1724.              0.
   26           1725.              0.
   27           1726.              0.
   28           1727.              0.
   29           1728.              0.
   30           1729.              0.
   31           1730.              0.
   32           1731.              0.
   33           1732.              0.
   34           1733.              0.
   35           1734.              0.
   36           1735.              0.
   37           1736.              0.
   38           1737.              0.
   39           1738.              0.
   40           1739.              0.
   41           1740.              0.
   42           1741.              0.
   43           1742.              0.
   44           1743.              0.
   45           1744.              0.
   46           1745.              0.
   47           1746.              0.
   48           1747.              0.
   49           1748.              0.
   50           1749.              0.
   51           1750.              0.
   52           1751.              0.
   53           1752.              0.
   54           1753.              0.
   55           1754.              0.
   56           1755.              0.
   57           1756.              0.
   58           1757.              0.
   59           1758.              0.
   60           1759.              0.
   61           1760.              0.
   62           1761.              0.
   63           1762.              0.
   64           1763.              0.
   65           1764.              0.
   66           1765.              0.
   67           1766.              0.
   68           1767.              0.
   69           1768.              0.
   70           1769.              0.
   71           1770.              0.
   72           1771.              0.
   73           1772.              0.
   74           1773.              0.
   75           1774.              0.
   76           1775.              0.
   77           1776.              0.
   78           1777.              0.
   79           1778.              0.
   80           1779.              0.
   81           1780.              0.
   82           1781.              0.
   83           1782.              0.
   84           1783.              0.
   85           1784.              0.
   86           1785.              0.
   87           1786.              0.
   88           1787.              0.
   89           1788.              0.
   90           1789.              0.
   91           1790.              0.
   92           1791.              0.
   93           1792.              0.
   94           1793.              0.
   95           1794.              0.
   96           1795.              0.
   97           1796.              0.
   98           1797.              0.
   99           1798.              0.
  100           1799.              0.
  101           1800.              0.
  102           1801.              0.
  103           1802.              0.
  104           1803.              0.
  105           1804.              0.
  106           1805.              0.
  107           1806.              0.
  108           1807.              0.
  109           1808.              0.
  110           1809.              0.
  111           1810.              0.
  112           1811.              0.
  113           1812.              0.
  114           1813.              0.
  115           1814.              0.
  116           1815.              0.
  117           1816.              0.
  118           1817.              0.
  119           1818.              0.
  120           1819.              0.
  121           1820.              0.
  122           1821.              0.
  123           1822.              0.
  124           1823.              0.
  125           1824.              0.
  126           1825.              0.
  127           1826.              0.
  128           1827.              0.
  129           1828.              0.
  130           1829.              0.
  131           1830.              0.
  132           1831.              0.
  133           1832.              0.
  134           1833.              0.
  135           1834.              0.
  136           1835.              0.
  137           1836.              0.
  138           1837.              0.
  139           1838.              0.
  140           1839.              0.
  141           1840.              0.
  142           1841.              0.
  143           1842.              0.
  144           1843.              0.
  145           1844.              0.
  146           1845.              0.
  147           1846.              0.
  148           1847.              0.
  149           1848.              0.
  150           1849.              0.
  151           1850.              0.
  152           1851.              0.
  153           1852.              0.
  154           1853.              0.
  155           1854.              0.
  156           1855.              0.
  157           1856.              0.
  158           1857.              0.
  159           1858.              0.
  160           1859.              0.
  161           1860.              0.
  162           1861.              0.
  163           1862.              0.
  164           1863.              0.
  165           1864.              0.
  166           1865.              0.
  167           1866.              0.
  168           1867.              0.
  169           1868.              0.
  170           1869.              0.
  171           1870.              0.
  172           1871.              0.
  173           1872.              0.
  174           1873.              0.
  175           1874.              0.
  176           1875.              0.
  177           1876.              0.
  178           1877.              0.
  179           1878.              0.
  180           1879.              0.
  181           1880.              0.
  182           1881.              0.
  183           1882.              0.
  184           1883.              0.
  185           1884.              0.
  186           1885.              0.
  187           1886.              0.
  188           1887.              0.
  189           1888.              0.
  190           1889.              0.
  191           1890.              0.
  192           1891.              0.
  193           1892.              0.
  194           1893.              0.
  195           1894.              0.
  196           1895.              0.
  197           1896.              0.
  198           1897.              0.
  199           1898.              0.
  200           1899.              0.
  201           1900.              0.
  202           1901.              0.
  203           1902.              0.
  204           1903.              0.
  205           1904.              0.
  206           1905.              0.
  207           1906.              0.
  208           1907.              0.
  209           1908.              0.
  210           1909.              0.
  211           1910.              0.
  212           1911.              0.
  213           1912.              0.
  214           1913.              0.
  215           1914.              0.
  216           1915.              0.
  217           1916.              0.
  218           1917.              0.
  219           1918.              0.
  220           1919.              0.
  221           1920.              0.
  222           1921.              0.
  223           1922.              0.
  224           1923.              0.
  225           1924.              0.
  226           1925.              0.
  227           1926.              0.
  228           1927.              0.
  229           1928.              0.
  230           1929.              0.
  231           1930.              0.
  232           1931.              0.
  233           1932.              0.
  234           1933.              0.
  235           1934.              0.
  236           1935.              0.
  237           1936.              0.
  238           1937.              0.
  239           1938.              0.
  240           1939.              0.
  241           1940.              0.
  242           1941.              0.
  243           1942.              0.
  244           1943.              0.
  245           1944.              0.
  246           1945.              0.
  247           1946.              0.
  248           1947.              0.
  249           1948.              0.
  250           1949.              0.
  251           1950.              0.
  252           1951.              0.
  253           1952.              0.
  254           1953.              0.
  255           1954.              0.
  256           1955.              0.
  257           1956.              0.
  258           1957.              0.
  259           1958.              0.
  260           1959.              0.
  261           1960.              0.
  262           1961.              0.
  263           1962.              0.
  264           1963.              0.
  265           1964.              0.
  266           1965.              0.
  267           1966.              0.
  268           1967.              0.
  269           1968.              0.
  270           1969.              0.
  271           1970.              0.
  272           1971.              0.
  273           1972.              0.
  274           1973.              0.
  275           1974.              0.
  276           1975.              0.
  277           1976.              0.
  278           1977.              0.
  279           1978.              0.
  280           1979.              0.
  281           1980.              0.
  282           1981.              0.
  283           1982.              0.
  284           1983.              0.
  285           1984.              0.
  286           1985.              0.
  287           1986.              0.
  288           1987.              0.
  289           1988.              0.
  290           1989.              0.
  291           1990.              0.
  292           1991.              0.
  293           1992.              0.
  294           1993.              0.
  295           1994.              0.
  296           1995.              0.
  297           1996.              0.
  298           1997.              0.
  299           1998.              0.
  300           1999.              0.
  301           2000.     3.850295E-8
  302           2001.     1.097107E-7
  303           2002.     1.101340E-7
  304           2003.     1.105583E-7
  305           2004.     1.109837E-7
  306           2005.     1.114099E-7
  307           2006.     1.118373E-7
  308           2007.     1.122656E-7
  309           2008.     1.126950E-7
  310           2009.     1.131253E-7
  311           2010.     1.135567E-7
  312           2011.     1.139888E-7
  313           2012.     1.144218E-7
  314           2013.     1.148560E-7
  315           2014.     1.152911E-7
  316           2015.     1.157273E-7
  317           2016.     1.161645E-7
  318           2017.     1.166027E-7
  319           2018.     1.170419E-7
  320           2019.     1.174822E-7
  321           2020.     1.179235E-7
  322           2021.     1.196607E-7
  323           2022.     1.238538E-7
  324           2023.     1.280591E-7
  325           2024.     1.322770E-7
  326           2025.     1.365075E-7
  327           2026.     1.407507E-7
  328           2027.     1.450065E-7
  329           2028.     1.492750E-7
  330           2029.     1.535562E-7
  331           2030.     1.578502E-7
  332           2031.     1.621715E-7
  333           2032.     1.665062E-7
  334           2033.     1.708546E-7
  335           2034.     1.752165E-7
  336           2035.     1.795920E-7
  337           2036.     1.839811E-7
  338           2037.     1.883840E-7
  339           2038.     1.928004E-7
  340           2039.     1.972306E-7
  341           2040.     2.016745E-7
  342           2041.     2.066537E-7
  343           2042.     2.126438E-7
  344           2043.     2.186525E-7
  345           2044.     2.246798E-7
  346           2045.     2.307259E-7
  347           2046.     2.367907E-7
  348           2047.     2.428742E-7
  349           2048.     2.489765E-7
  350           2049.     2.550978E-7
  351           2050.     2.612378E-7
  352           2051.     2.674504E-7
  353           2052.     2.736843E-7
  354           2053.     2.799397E-7
  355           2054.     2.862166E-7
  356           2055.     2.925150E-7
  357           2056.     2.988350E-7
  358           2057.     3.051766E-7
  359           2058.     3.115398E-7
  360           2059.     3.179247E-7
  361           2060.     3.243315E-7
  362           2061.     3.386464E-7
  363           2062.     3.682810E-7
  364           2063.     3.980202E-7
  365           2064.     4.278646E-7
  366           2065.     4.578141E-7
  367           2066.     4.878690E-7
  368           2067.     5.180295E-7
  369           2068.     5.482959E-7
  370           2069.     5.786682E-7
  371           2070.     6.091468E-7
  372           2071.     6.396643E-7
  373           2072.     6.702820E-7
