# Pan-STARRS1 g filter transmission curve
# Source: Tonry et al. 2021
# https://ui.adsabs.harvard.edu/abs/2012ApJ...750...99T/abstract
# Retrieved 17 Aug 2021 from https://ipp.ifa.hawaii.edu/ps1.filters by K. Boone
# Wavelength(nm) Throughput
 555 0.041
 556 0.025
 557 0.015
 558 0.009
 559 0.006
 560 0.003
 561 0.002
 562 0.002
 563 0.001
 564 0.001
 565 0.001
 566 0.001
 567 0.000
 568 0.000
 569 0.000
 570 0.000
 571 0.000
 572 0.000
 573 0.000
 574 0.000
 575 0.000
 576 0.000
 577 0.000
 578 0.000
 579 0.000
 580 0.000
 581 0.000
 582 0.000
 583 0.000
 584 0.000
 585 0.000
 586 0.000
 587 0.000
 588 0.000
 589 0.000
 590 0.000
 591 0.000
 592 0.000
 593 0.000
 594 0.000
 595 0.000
 596 0.000
 597 0.000
 598 0.000
 599 0.000
 600 0.000
 601 0.000
 602 0.000
 603 0.000
 604 0.000
 605 0.000
 606 0.000
 607 0.000
 608 0.000
 609 0.000
 610 0.000
 611 0.000
 612 0.000
 613 0.000
 614 0.000
 615 0.000
 616 0.000
 617 0.000
 618 0.000
 619 0.000
 620 0.000
 621 0.000
 622 0.000
 623 0.000
 624 0.000
 625 0.000
 626 0.000
 627 0.000
 628 0.000
 629 0.000
 630 0.000
 631 0.000
 632 0.000
 633 0.000
 634 0.000
 635 0.000
 636 0.000
 637 0.000
 638 0.000
 639 0.000
 640 0.000
 641 0.000
 642 0.000
 643 0.000
 644 0.000
 645 0.000
 646 0.000
 647 0.000
 648 0.000
 649 0.000
 650 0.000
 651 0.000
 652 0.000
 653 0.000
 654 0.000
 655 0.000
 656 0.000
 657 0.000
 658 0.000
 659 0.000
 660 0.000
 661 0.000
 662 0.000
 663 0.000
 664 0.000
 665 0.000
 666 0.000
 667 0.000
 668 0.000
 669 0.000
 670 0.000
 671 0.000
 672 0.000
 673 0.000
 674 0.000
 675 0.000
 676 0.000
 677 0.000
 678 0.000
 679 0.000
 680 0.000
 681 0.000
 682 0.000
 683 0.000
 684 0.000
 685 0.000
 686 0.000
 687 0.000
 688 0.000
 689 0.000
 690 0.000
 691 0.000
 692 0.000
 693 0.000
 694 0.000
 695 0.000
 696 0.000
 697 0.000
 698 0.000
 699 0.000
 700 0.000
 701 0.000
 702 0.000
 703 0.000
 704 0.000
 705 0.000
 706 0.000
 707 0.000
 708 0.000
 709 0.000
 710 0.000
 711 0.000
 712 0.000
 713 0.000
 714 0.000
 715 0.000
 716 0.000
 717 0.000
 718 0.000
 719 0.000
 720 0.000
 721 0.000
 722 0.000
 723 0.000
 724 0.000
 725 0.000
 726 0.000
 727 0.000
 728 0.000
 729 0.000
 730 0.000
 731 0.000
 732 0.000
 733 0.000
 734 0.000
 735 0.000
 736 0.000
 737 0.000
 738 0.000
 739 0.000
 740 0.000
 741 0.000
 742 0.000
 743 0.000
 744 0.000
 745 0.000
 746 0.000
 747 0.000
 748 0.000
 749 0.000
 750 0.000
 751 0.000
 752 0.000
 753 0.000
 754 0.000
 755 0.000
 756 0.000
 757 0.000
 758 0.000
 759 0.000
 760 0.000
 761 0.000
 762 0.000
 763 0.000
 764 0.000
 765 0.000
 766 0.000
 767 0.000
 768 0.000
 769 0.000
 770 0.000
 771 0.000
 772 0.000
 773 0.000
 774 0.000
 775 0.000
 776 0.000
 777 0.000
 778 0.000
 779 0.000
 780 0.000
 781 0.000
 782 0.000
 783 0.000
 784 0.000
 785 0.000
 786 0.000
 787 0.000
 788 0.000
 789 0.000
 790 0.000
 791 0.000
 792 0.000
 793 0.000
 794 0.000
 795 0.000
 796 0.000
 797 0.000
 798 0.000
 799 0.000
 800 0.000
 801 0.000
 802 0.000
 803 0.000
 804 0.000
 805 0.000
 806 0.000
 807 0.000
 808 0.000
 809 0.000
 810 0.000
 811 0.000
 812 0.000
 813 0.000
 814 0.000
 815 0.000
 816 0.000
 817 0.000
 818 0.000
 819 0.000
 820 0.000
 821 0.000
 822 0.000
 823 0.000
 824 0.000
 825 0.000
 826 0.000
 827 0.000
 828 0.000
 829 0.000
 830 0.000
 831 0.000
 832 0.000
 833 0.000
 834 0.000
 835 0.000
 836 0.000
 837 0.000
 838 0.000
 839 0.000
 840 0.000
 841 0.000
 842 0.000
 843 0.000
 844 0.000
 845 0.000
 846 0.000
 847 0.000
 848 0.000
 849 0.000
 850 0.000
 851 0.000
 852 0.000
 853 0.000
 854 0.000
 855 0.000
 856 0.000
 857 0.000
 858 0.000
 859 0.000
 860 0.000
 861 0.000
 862 0.000
 863 0.000
 864 0.000
 865 0.000
 866 0.000
 867 0.000
 868 0.000
 869 0.000
 870 0.000
 871 0.000
 872 0.000
 873 0.000
 874 0.000
 875 0.000
 876 0.000
 877 0.000
 878 0.000
 879 0.000
 880 0.000
 881 0.000
 882 0.000
 883 0.000
 884 0.000
 885 0.000
 886 0.000
 887 0.000
 888 0.000
 889 0.000
 890 0.000
 891 0.000
 892 0.000
 893 0.000
 894 0.000
 895 0.000
 896 0.000
 897 0.000
 898 0.000
 899 0.000
 900 0.000
 901 0.000
 902 0.000
 903 0.000
 904 0.000
 905 0.000
 906 0.000
 907 0.000
 908 0.000
 909 0.000
 910 0.000
 911 0.000
 912 0.000
 913 0.000
 914 0.000
 915 0.000
 916 0.000
 917 0.000
 918 0.000
 919 0.000
 920 0.000
 921 0.000
 922 0.000
 923 0.000
 924 0.000
 925 0.000
 926 0.000
 927 0.000
 928 0.000
 929 0.000
 930 0.000
 931 0.000
 932 0.000
 933 0.000
 934 0.000
 935 0.000
 936 0.000
 937 0.000
 938 0.000
 939 0.000
 940 0.000
 941 0.000
 942 0.000
 943 0.000
 944 0.000
 945 0.000
 946 0.000
 947 0.000
 948 0.000
 949 0.000
 950 0.000
 951 0.000
 952 0.000
 953 0.000
 954 0.000
 955 0.000
 956 0.000
 957 0.000
 958 0.000
 959 0.000
 960 0.000
 961 0.000
 962 0.000
 963 0.000
 964 0.000
 965 0.000
 966 0.000
 967 0.000
 968 0.000
 969 0.000
 970 0.000
 971 0.000
 972 0.000
 973 0.000
 974 0.000
 975 0.000
 976 0.000
 977 0.000
 978 0.000
 979 0.000
 980 0.000
 981 0.000
 982 0.000
 983 0.000
 984 0.000
 985 0.000
 986 0.000
 987 0.000
 988 0.000
 989 0.000
 990 0.000
 991 0.000
 992 0.000
 993 0.000
 994 0.000
 995 0.000
 996 0.000
 997 0.000
 998 0.000
 999 0.000
1000 0.000
1001 0.000
1002 0.000
1003 0.000
1004 0.000
1005 0.000
1006 0.000
1007 0.000
1008 0.000
1009 0.000
1010 0.000
1011 0.000
1012 0.000
1013 0.000
1014 0.000
1015 0.000
1016 0.000
1017 0.000
1018 0.000
1019 0.000
1020 0.000
1021 0.000
1022 0.000
1023 0.000
1024 0.000
1025 0.000
1026 0.000
1027 0.000
1028 0.000
1029 0.000
1030 0.000
1031 0.000
1032 0.000
1033 0.000
1034 0.000
1035 0.000
1036 0.000
1037 0.000
1038 0.000
1039 0.000
1040 0.000
1041 0.000
1042 0.000
1043 0.000
1044 0.000
1045 0.000
1046 0.000
1047 0.000
1048 0.000
1049 0.000
1050 0.000
1051 0.000
1052 0.000
1053 0.000
1054 0.000
1055 0.000
1056 0.000
1057 0.000
1058 0.000
1059 0.000
1060 0.000
1061 0.000
1062 0.000
1063 0.000
1064 0.000
1065 0.000
1066 0.000
1067 0.000
1068 0.000
1069 0.000
1070 0.000
1071 0.000
1072 0.000
1073 0.000
1074 0.000
1075 0.000
1076 0.000
1077 0.000
1078 0.000
1079 0.000
1080 0.000
1081 0.000
1082 0.000
1083 0.000
1084 0.000
1085 0.000
1086 0.000
1087 0.000
1088 0.000
1089 0.000
1090 0.000
1091 0.000
1092 0.000
1093 0.000
1094 0.000
1095 0.000
1096 0.000
1097 0.000
1098 0.000
1099 0.000
1100 0.000
